STATION,STATION_NAME,DATE,TMAX,TMIN,TOBS
GHCND:USC00451496,CLEARWATER WA US,19000101,78,50,-9999
GHCND:USC00451496,CLEARWATER WA US,19000102,72,11,-9999
GHCND:USC00451496,CLEARWATER WA US,19000103,56,22,-9999
GHCND:USC00451496,CLEARWATER WA US,19000104,50,-6,-9999
GHCND:USC00451496,CLEARWATER WA US,19000105,100,39,-9999
GHCND:USC00451496,CLEARWATER WA US,19000106,83,11,-9999
GHCND:USC00451496,CLEARWATER WA US,19000107,133,72,-9999
GHCND:USC00451496,CLEARWATER WA US,19000108,94,39,-9999
GHCND:USC00451496,CLEARWATER WA US,19000109,61,39,-9999
GHCND:USC00451496,CLEARWATER WA US,19000110,94,50,-9999
GHCND:USC00451496,CLEARWATER WA US,19000111,89,56,-9999
GHCND:USC00451496,CLEARWATER WA US,19000112,106,67,-9999
GHCND:USC00451496,CLEARWATER WA US,19000113,106,22,-9999
GHCND:USC00451496,CLEARWATER WA US,19000114,89,6,-9999
GHCND:USC00451496,CLEARWATER WA US,19000115,56,0,-9999
GHCND:USC00451496,CLEARWATER WA US,19000116,111,44,-9999
GHCND:USC00451496,CLEARWATER WA US,19000117,128,78,-9999
GHCND:USC00451496,CLEARWATER WA US,19000118,117,83,-9999
GHCND:USC00451496,CLEARWATER WA US,19000119,89,22,-9999
GHCND:USC00451496,CLEARWATER WA US,19000120,83,0,-9999
GHCND:USC00451496,CLEARWATER WA US,19000121,67,33,-9999
GHCND:USC00451496,CLEARWATER WA US,19000122,78,56,-9999
GHCND:USC00451496,CLEARWATER WA US,19000123,72,6,-9999
GHCND:USC00451496,CLEARWATER WA US,19000124,50,-11,-9999
GHCND:USC00451496,CLEARWATER WA US,19000125,33,-17,-9999
GHCND:USC00451496,CLEARWATER WA US,19000126,22,-22,-9999
GHCND:USC00451496,CLEARWATER WA US,19000127,28,-22,-9999
GHCND:USC00451496,CLEARWATER WA US,19000128,28,-28,-9999
GHCND:USC00451496,CLEARWATER WA US,19000129,67,-22,-9999
GHCND:USC00451496,CLEARWATER WA US,19000130,72,-6,-9999
GHCND:USC00451496,CLEARWATER WA US,19000131,44,-11,-9999
GHCND:USC00451496,CLEARWATER WA US,19000201,78,39,-9999
GHCND:USC00451496,CLEARWATER WA US,19000202,78,56,-9999
GHCND:USC00451496,CLEARWATER WA US,19000203,139,50,-9999
GHCND:USC00451496,CLEARWATER WA US,19000204,94,0,-9999
GHCND:USC00451496,CLEARWATER WA US,19000205,83,33,-9999
GHCND:USC00451496,CLEARWATER WA US,19000206,89,28,-9999
GHCND:USC00451496,CLEARWATER WA US,19000207,56,-17,-9999
GHCND:USC00451496,CLEARWATER WA US,19000208,72,28,-9999
GHCND:USC00451496,CLEARWATER WA US,19000209,83,50,-9999
GHCND:USC00451496,CLEARWATER WA US,19000210,94,61,-9999
GHCND:USC00451496,CLEARWATER WA US,19000211,78,-6,-9999
GHCND:USC00451496,CLEARWATER WA US,19000212,44,-6,-9999
GHCND:USC00451496,CLEARWATER WA US,19000213,44,-17,-9999
GHCND:USC00451496,CLEARWATER WA US,19000214,33,-28,-9999
GHCND:USC00451496,CLEARWATER WA US,19000215,28,-44,-9999
GHCND:USC00451496,CLEARWATER WA US,19000216,17,-39,-9999
GHCND:USC00451496,CLEARWATER WA US,19000217,56,11,-9999
GHCND:USC00451496,CLEARWATER WA US,19000218,83,0,-9999
GHCND:USC00451496,CLEARWATER WA US,19000219,83,33,-9999
GHCND:USC00451496,CLEARWATER WA US,19000220,100,33,-9999
GHCND:USC00451496,CLEARWATER WA US,19000221,100,56,-9999
GHCND:USC00451496,CLEARWATER WA US,19000222,106,56,-9999
GHCND:USC00451496,CLEARWATER WA US,19000223,122,28,-9999
GHCND:USC00451496,CLEARWATER WA US,19000224,111,67,-9999
GHCND:USC00451496,CLEARWATER WA US,19000225,106,17,-9999
GHCND:USC00451496,CLEARWATER WA US,19000226,106,33,-9999
GHCND:USC00451496,CLEARWATER WA US,19000227,61,17,-9999
GHCND:USC00451496,CLEARWATER WA US,19000228,106,44,-9999
GHCND:USC00451496,CLEARWATER WA US,19000301,111,11,-9999
GHCND:USC00451496,CLEARWATER WA US,19000302,117,-11,-9999
GHCND:USC00451496,CLEARWATER WA US,19000303,94,33,-9999
